=================== grind ===================
arm grind cpu 6 frames 8017 swaps {'flush': 0, 'finish': 8017}; round 1 length 68.21 closed_by report span 0.54-66.18 (human_death) frames 4250 excl 313 hitches 0 rawmax 39.8
window                     secs         ms med (range)        pre med (range)        ren med (range)      draws med (range)
before (free, throttled)     10       11.1 (10.8-11.8)          5.9 (5.8-6.2)          5.1 (4.9-5.6)       53.0 (52.0-55.0)
rim, all                     40       17.1 (14.5-20.3)         9.4 (8.6-10.3)         7.6 (5.5-10.3)     113.3 (60.0-171.2)
rim, draws <= 70             14       15.3 (14.5-16.5)          9.1 (8.6-9.8)          6.0 (5.5-6.7)       60.0 (60.0-68.7)
rim, draws >= 150            15       18.8 (18.2-20.3)         9.6 (9.1-10.3)         9.2 (8.8-10.3)    166.3 (153.1-171.2)
ms_p50                 before 11.1 -> rim@<=70 draws 15.3 (+37 %, +4.2 ms); rim all 17.1 (+54 %)
ms_to_first_draw       before 5.9 -> rim@<=70 draws 9.1 (+55 %, +3.2 ms); rim all 9.4 (+59 %)
ms_first_draw_to_swap  before 5.1 -> rim@<=70 draws 6.0 (+18 %, +0.9 ms); rim all 7.6 (+48 %)
text excursion (rim >=150 vs rim <=70 draws): draws 60 -> 166, ren 6.0 -> 9.2 = 30 us per draw call; pre 9.1 -> 9.6
shots: r1-after-tutorial-keys@7.53s, g-12s-free@11.74s, g-18s-approach@17.96s, g-24s-grinding@24.2s, g-34s-grinding@34.46s, g-44s-grinding@44.69s, g-54s-grinding@54.94s, kill-stall@60.15s

per second (round clock; s = second after NEW_ROUND; draws = draw calls/frame; ms = ms_p50; pre = ms_to_first_draw_p50; ren = ms_first_draw_to_swap_p50; rawmax = raw_ms_max incl. screenshot/stall hitches)
 48  184.4   16.9    8.4    8.7    20.2
 49  182.8   17.1    8.6    8.6    19.4
 50  181.2   16.5    8.3    8.2    19.2
 51  180.4   17.0    8.4    8.6    20.3
 52  180.7   16.0    8.2    7.9    19.1
 53  182.3   16.4    8.1    8.0    20.6
 54  182.3   17.7    8.8    8.8    20.7
 55  150.8   16.8    8.8    7.9    22.1
 56  124.5   15.1    8.1    6.9    19.4
 57   94.0   14.1    8.1    6.0    17.3
 58   65.6   12.3    7.6    4.6    15.3
 59   60.0   12.1    7.4    4.5    15.0
 60   60.0   12.2    7.2    5.0    13.8
 61    0.0      -      -      -     0.0
 62    0.0      -      -      -     0.0
 63    0.0      -      -      -     0.0
 64    0.0      -      -      -     0.0
 65    0.0      -      -      -     0.0
 66   46.0    8.4    5.1    3.2    12.4
 67   26.1    7.1    5.4    1.6    28.5
 68   26.0    6.4    5.1    1.3     8.9

=================== grind-r2 ===================
arm grind-r2 cpu 6 frames 8433 swaps {'flush': 0, 'finish': 8433}; round 1 length 68.16 closed_by report span 0.53-66.13 (human_death) frames 4621 excl 336 hitches 0 rawmax 39.3
window                     secs         ms med (range)        pre med (range)        ren med (range)      draws med (range)
before (free, throttled)     10       11.4 (11.0-11.9)          6.0 (5.9-6.2)          5.2 (5.0-5.7)       53.0 (52.0-55.0)
rim, all                     40       14.0 (12.8-18.3)         8.5 (8.0-10.0)          5.5 (4.7-8.9)      60.0 (60.0-173.6)
rim, draws <= 70             31       13.7 (12.8-17.3)         8.4 (8.0-10.0)          5.3 (4.7-7.5)       60.0 (60.0-68.1)
rim, draws >= 150             2       17.9 (17.7-18.2)          9.2 (9.0-9.3)          8.8 (8.7-8.9)    172.4 (171.3-173.6)
ms_p50                 before 11.4 -> rim@<=70 draws 13.7 (+20 %, +2.3 ms); rim all 14.0 (+23 %)
ms_to_first_draw       before 6.0 -> rim@<=70 draws 8.4 (+41 %, +2.5 ms); rim all 8.5 (+43 %)
ms_first_draw_to_swap  before 5.2 -> rim@<=70 draws 5.3 (+1 %, +0.0 ms); rim all 5.5 (+4 %)
text excursion (rim >=150 vs rim <=70 draws): draws 60 -> 172, ren 5.3 -> 8.8 = 31 us per draw call; pre 8.4 -> 9.2
shots: r1-after-tutorial-keys@7.51s, g-12s-free@11.72s, g-18s-approach@17.93s, g-24s-grinding@24.16s, g-34s-grinding@34.4s, g-44s-grinding@44.64s, g-54s-grinding@54.86s, kill-stall@60.12s

per second (round clock; s = second after NEW_ROUND; draws = draw calls/frame; ms = ms_p50; pre = ms_to_first_draw_p50; ren = ms_first_draw_to_swap_p50; rawmax = raw_ms_max incl. screenshot/stall hitches)
  0   20.8    5.2    4.9    0.2    21.1
  1   33.0    5.5    4.9    0.6     6.4
  2   52.8    6.1    5.0    1.1     7.7
  3   53.0    6.1    5.0    1.1     9.3
  4   56.1    6.4    5.2    1.2    11.3
  5   58.9    6.3    5.1    1.2    10.2
  6   56.0    6.2    5.1    1.1     7.8
  7   56.0    6.0    4.9    1.0    14.2
  8   55.0   11.4    5.9    5.2    16.8
  9   55.0   11.5    6.0    5.4    14.4
 10   54.0   11.4    5.9    5.3    14.6
 11   54.0   11.2    5.9    5.2    13.2
 12   53.0   11.9    6.2    5.5    16.1
 13   53.0   11.0    5.9    5.1    13.3
 14   52.0   11.1    5.9    5.0    13.5
 15   52.0   11.3    6.0    5.1    13.1
 16   52.0   11.7    6.0    5.7    14.7
 17   52.0   11.4    6.0    5.4    14.5
 18   52.4   12.9    7.1    5.9    16.0
 19   60.1   13.3    8.0    5.2    19.6
 20   85.9   14.5    8.5    5.6    18.2
 21  102.0   14.9    8.5    6.5    28.9
 22  102.0   16.2    8.9    7.2    18.4
 23   98.3   15.3    8.7    6.3    17.3
 24   68.1   13.5    8.3    5.1    16.3
 25   60.0   13.2    8.1    5.1    15.4
 26   60.0   13.7    8.3    5.4    15.8
 27   60.0   13.5    8.3    5.3    19.7
 28   60.0   13.4    8.4    5.3    16.1
 29   60.0   13.4    8.2    5.0    16.1
 30   60.0   13.8    8.5    5.2    17.4
 31   60.0   14.0    8.5    5.6    17.2
 32   60.0   12.8    8.0    4.9    15.3
 33   60.0   12.9    8.0    4.8    17.5
 34   60.0   13.0    8.0    5.0    16.5
 35   60.0   13.7    8.6    5.0    18.2
 36   60.0   12.9    8.0    4.7    15.0
 37   60.0   13.6    8.4    4.9    17.4
 38   60.0   13.4    8.1    5.0    16.0
 39   60.0   13.8    8.3    5.5    16.1
 40   60.0   13.7    8.5    5.3    18.5
 41   60.0   13.3    8.1    5.1    18.0
 42   60.0   13.2    8.2    4.9    16.6
 43   60.0   13.6    8.4    5.2    17.2
