[   1618ms] [harness] chrome: Chrome/152.0.7977.65
[   1619ms] [harness] navigating to http://localhost:8000/armagetronad.html
[     55ms] [console.error] WARNING: using emscripten GL emulation. This is a collection of limited workarounds, do not expect it to work.
[     55ms] [console.error] WARNING: using emscripten GL emulation unsafe opts. If weirdness happens, try -sGL_UNSAFE_OPTS=0
[     67ms] [page] load event fired
[   6714ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6715ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6726ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6726ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6732ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6732ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6733ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6743ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6744ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6749ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6749ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6750ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6758ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6759ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6764ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6765ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6765ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6776ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6776ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6782ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6782ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6782ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6793ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6793ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6798ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6799ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6799ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6808ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6808ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6814ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6814ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6815ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6827ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6827ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
